SlideNum,Whitespace%,Classes,Headings,Paragraphs,Lists,Images,Words,Severity
11,100.0,none,0,0,0,0,0,CRITICAL
18,100.0,none,0,0,0,0,0,CRITICAL
31,100.0,none,0,0,0,0,0,CRITICAL
56,100.0,none,0,0,0,0,0,CRITICAL
69,100.0,none,0,0,0,0,0,CRITICAL
86,100.0,none,0,0,0,0,0,CRITICAL
44,95.4,none,0,1,0,0,5,CRITICAL
12,93.3,lead,1,0,0,0,4,CRITICAL
19,93.3,lead,1,0,0,0,3,CRITICAL
32,93.3,lead,1,0,0,0,3,CRITICAL
46,93.3,lead,1,0,0,0,2,CRITICAL
57,93.3,lead,1,0,0,0,2,CRITICAL
70,93.3,lead,1,0,0,0,2,CRITICAL
87,93.3,lead,1,0,0,0,3,CRITICAL
90,93.3,lead,1,0,0,0,1,CRITICAL
96,93.3,lead,1,0,0,0,1,CRITICAL
98,93.3,lead,1,0,0,0,3,CRITICAL
102,93.3,lead,1,0,0,0,1,CRITICAL
104,93.3,lead,1,0,0,0,1,CRITICAL
107,93.3,lead,1,0,0,0,1,CRITICAL
109,93.3,lead,1,0,0,0,1,CRITICAL
111,93.3,lead,1,0,0,0,1,CRITICAL
113,93.3,lead,1,0,0,0,1,CRITICAL
116,93.3,lead,1,0,0,0,1,CRITICAL
120,93.3,lead,1,0,0,0,2,CRITICAL
130,93.3,lead,1,0,0,0,2,CRITICAL
144,93.3,lead,1,0,0,0,1,CRITICAL
148,93.3,lead,1,0,0,0,1,CRITICAL
151,93.3,lead,1,0,0,0,2,CRITICAL
156,93.3,lead,1,0,0,0,2,CRITICAL
161,93.3,lead,1,0,0,0,1,CRITICAL
166,93.3,lead,1,0,0,0,1,CRITICAL
58,92.7,layout-callout|ultracompact|compact,1,0,1,0,14,CRITICAL
89,91.3,none,1,0,0,0,6,CRITICAL
108,88.9,card-grid|ultracompact,1,1,0,0,12,CRITICAL
170,88.9,card-grid|ultracompact,1,1,0,0,12,CRITICAL
127,88.1,lead,2,0,0,0,3,OK
137,88.1,lead,2,0,0,0,3,OK
45,84.4,none,1,0,0,0,10,CRITICAL
143,82.6,lead,1,0,0,0,8,OK
13,81.6,layout-callout|compact,1,0,1,0,10,CRITICAL
88,81.5,card-grid|ultracompact|supercompact,1,5,0,0,12,CRITICAL
149,81.1,layout-callout|ultracompact,1,1,0,0,11,CRITICAL
150,80.3,card-grid|supercompact,4,0,3,0,13,CRITICAL
33,79.9,layout-callout|compact,1,0,1,0,11,CRITICAL
37,79.9,two-column|compact,3,0,2,0,9,CRITICAL
79,79.6,two-column|supercompact,3,5,2,0,18,CRITICAL
165,78.8,two-column|compact,4,0,3,0,10,CRITICAL
160,78.6,layout-horizontal-right|supercompact,1,2,0,1,12,CRITICAL
73,78.5,two-column|ultracompact,3,3,2,0,14,CRITICAL
20,78.5,layout-callout|compact,1,0,1,0,11,CRITICAL
1,78.0,lead,2,1,0,0,3,OK
47,77.9,layout-callout|compact,1,0,1,0,12,CRITICAL
163,77.8,card-grid|supercompact,4,3,0,0,7,CRITICAL
74,77.3,two-column|compact,3,1,2,0,16,CRITICAL
115,77.3,title,2,0,0,0,10,CRITICAL
43,74.9,two-column|compact,1,4,4,0,53,CRITICAL
29,74.3,two-column|compact,3,6,0,0,27,CRITICAL
134,72.9,layout-horizontal-right|supercompact,1,6,1,1,14,CRITICAL
35,72.9,two-column|compact,4,3,0,0,27,CRITICAL
25,72.2,layout-horizontal-right|supercompact,1,1,1,1,13,CRITICAL
